timestamp,pixelCount
timestamp,pixelCount
2026-07-18 22:05:00,207
2026-07-18 22:06:00,194
2026-07-18 22:07:00,174
2026-07-18 22:08:00,245
2026-07-18 22:09:00,181
2026-07-18 22:10:00,194
2026-07-18 22:11:00,187
2026-07-18 22:12:00,202
2026-07-18 22:13:00,183
2026-07-18 22:14:00,177
2026-07-18 22:15:00,216
2026-07-18 22:16:00,199
2026-07-18 22:17:00,159
2026-07-18 22:18:00,186
2026-07-18 22:19:00,198
2026-07-18 22:20:00,174
2026-07-18 22:21:00,206
2026-07-18 22:22:00,163
2026-07-18 22:23:00,202
2026-07-18 22:24:00,183
2026-07-18 22:25:00,193
2026-07-18 22:26:00,144
2026-07-18 22:27:00,199
2026-07-18 22:28:00,160
2026-07-18 22:29:00,148
2026-07-18 22:30:00,206
2026-07-18 22:31:00,187
2026-07-18 22:32:00,205
2026-07-18 22:33:00,175
2026-07-18 22:34:00,182
2026-07-18 22:35:00,200
2026-07-18 22:36:00,158
2026-07-18 22:37:00,167
2026-07-18 22:38:00,149
2026-07-18 22:39:00,177
2026-07-18 22:40:00,168
2026-07-18 22:41:00,182
2026-07-18 22:42:00,171
2026-07-18 22:43:00,155
2026-07-18 22:44:00,177
2026-07-18 22:45:00,144
2026-07-18 22:46:00,183
2026-07-18 22:47:00,160
2026-07-18 22:48:00,162
2026-07-18 22:49:00,163
2026-07-18 22:50:00,149
2026-07-18 22:51:00,144
2026-07-18 22:52:00,177
2026-07-18 22:53:00,162
2026-07-18 22:54:00,135
2026-07-18 22:55:00,192
2026-07-18 22:56:00,147
2026-07-18 22:57:00,154
2026-07-18 22:58:00,176
2026-07-18 22:59:00,137
2026-07-18 23:00:00,167
2026-07-18 23:01:00,146
2026-07-18 23:02:00,201
2026-07-18 23:03:00,139
2026-07-18 23:04:00,141
2026-07-18 23:05:00,152
2026-07-18 23:06:00,156
2026-07-18 23:07:00,131
2026-07-18 23:08:00,166
2026-07-18 23:09:00,158
2026-07-18 23:10:00,186
2026-07-18 23:11:00,177
2026-07-18 23:12:00,173
2026-07-18 23:13:00,183
2026-07-18 23:14:00,154
2026-07-18 23:15:00,200
2026-07-18 23:16:00,159
2026-07-18 23:17:00,158
2026-07-18 23:18:00,153
2026-07-18 23:19:00,172
2026-07-18 23:20:00,191
2026-07-18 23:21:00,199
2026-07-18 23:22:00,155
2026-07-18 23:23:00,160
2026-07-18 23:24:00,139
2026-07-18 23:25:00,165
2026-07-18 23:26:00,174
2026-07-18 23:27:00,161
2026-07-18 23:28:00,156
2026-07-18 23:29:00,170
2026-07-18 23:30:00,185
2026-07-18 23:31:00,175
2026-07-18 23:32:00,171
2026-07-18 23:33:00,166
2026-07-18 23:34:00,193
2026-07-18 23:35:00,162
2026-07-18 23:36:00,145
2026-07-18 23:37:00,198
2026-07-18 23:38:00,137
2026-07-18 23:39:00,178
2026-07-18 23:40:00,158
2026-07-18 23:41:00,178
2026-07-18 23:42:00,178
2026-07-18 23:43:00,188
2026-07-18 23:44:00,141
2026-07-18 23:45:00,162
2026-07-18 23:46:00,141
2026-07-18 23:47:00,159
2026-07-18 23:48:00,147
2026-07-18 23:49:00,171
